Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
ACIW,ACI Worldwide Inc,Technology,20.26,0,N/A,N/A,0,2200.236,29.6021096,0,1.322615358,29.14,19.68
ACLS,Axcelis Technologies Inc,Technology,160.37,0,N/A,N/A,0,5262.936702,25.47996002,0,1.708161039,201,49.78
ACLX,Arcellx Inc,N/A,33.13,0,N/A,N/A,0,1602.133041,0,N/A,0.683741397,48.92,17.56
ACMR,ACM Research Inc,Technology,19,0,N/A,N/A,0,1045.013395,15.64789535,0,2.211600233,20.87,5.46
ACNB,ACNB Corp.,Financial Services,32.92,0.033231321,0.076923077,0.040126207,1.093975076,281.936163,0,N/A,0.819944805,39.56,26.07
ACRE,Ares Commercial Real Estate Corp,Real Estate,9.27,0.142394822,0,0,1.311035607,501.843251,N/A,N/A,1.340261597,11.49,7.03
ACRS,Aclaris Therapeutics Inc,Healthcare,5.32,0,N/A,N/A,0,376.627495,N/A,0,0.926929562,18.96,5.18
ACRV,Acrivon Therapeutics Inc,N/A,6.06,0,N/A,N/A,0,133.761871,0,N/A,0.729662861,25.47,6.02
ACT,Enact Holdings Inc,,27.82,0.021299423,N/A,N/A,0.59254996,4451.027182,6.557199738,0.142439894,0.612345243,29.41,20.48
ACVA,ACV Auctions Inc,N/A,13.78,0,N/A,N/A,0,1861.580575,N/A,0,1.955365912,18.68,6.51
ADC,Agree Realty Corp.,Real Estate,54.9,0.053187614,0,0.013715491,2.838628986,5285.162116,34.09188152,1.622073707,0.512065197,73.47,53.44
ADEA,Adeia Inc,N/A,8.45,0.023329315,N/A,N/A,0.197132713,902.06612,0,N/A,0.608565978,12.24,6.97
ADMA,Adma Biologics Inc,Healthcare,3.21,0,N/A,N/A,0,721.949627,0,N/A,1.504423657,4.65,2.47
ADNT,Adient plc,Consumer Cyclical,35.51,0,N/A,N/A,0,3362.86802,29.24233061,0,1.605890942,47.5,30.19
ADPT,Adaptive Biotechnologies Corp,Healthcare,4.285,0,N/A,N/A,0,619.804331,N/A,0,2.527960883,10.79,4.28
ADTH,AdTheorent Holding Company Inc,N/A,1.17,0,N/A,N/A,0,103.199773,6.386124553,0,0.786087318,2.59,1.15
ADTN,ADTRAN Holdings Inc,Technology,7.3,0.048345289,0,0,0.352920612,574.377352,0,N/A,1.267174808,22.27,6.92
ADUS,Addus HomeCare Corporation,Healthcare,80.27,0,N/A,N/A,0,1300.374,24.15615247,0,0.547499063,114.99,77.3
ADV,Advantage Solutions Inc.,N/A,2.87,0,N/A,N/A,0,931.456916,N/A,0,0.870278715,3.55,1.13
AEIS,Advanced Energy Industries Inc.,Industrials,95.26,0.004190522,N/A,N/A,0.399189084,5513.324725,31.33051505,0.085662894,1.430786892,126.27,69.05
AEL,American Equity Investment Life Holding Co,Financial Services,53.31,0.007128119,N/A,N/A,0.360000014,4174.173,9.279342426,0.067415733,0.771278172,54.44,28.05
AEO,American Eagle Outfitters Inc.,Consumer Cyclical,16.82,0.017718162,N/A,N/A,0.298019491,3321.673008,16.37219611,0.299006212,1.401120784,17.43,9.64
AEVA,Aeva Technologies Inc,N/A,0.7202,0,N/A,N/A,0,160.407186,N/A,0,2.436186744,2.38,0.6699
AFCG,AFC Gamma Inc,N/A,11.44,0.166131961,N/A,N/A,1.900549636,234.036054,6.39806183,1.055860909,0.846185842,14.57,8.84
AFMD,Affimed N.V.,Healthcare,0.3957,0,N/A,N/A,0,59.093575,0,N/A,1.327575066,2.55,0.3911
AGEN,Agenus Inc,Healthcare,1.05,0,N/A,N/A,0,398.550796,N/A,0,1.834476264,3.24,1
AGIO,Agios Pharmaceuticals Inc,Healthcare,23.12,0,N/A,N/A,0,1288.692755,0.804585642,0,1.246628114,31.87,21.07
AGM,Federal Agricultural Mortgage Corp.,Financial Services,145.94,0.030149376,0.157894737,0.136561494,4.206239767,1482.046948,9.782875549,0.302825037,1.013776886,178.97,101.58
AGTI,Agiliti Inc,N/A,5.41,0,N/A,N/A,0,730.667053,169.5676614,0,1.200615264,20.17,5.24
AGX,"Argan, Inc.",Industrials,45.9,0.021576944,0,0,0.99038171,611.326173,16.85626527,0.372323951,0.583060051,47.8,31.03
AGYS,"Agilysys, Inc",Technology,66.47,0,N/A,N/A,0,1685.274929,149.7356668,0,0.52838648,88.16,52.25
AHCO,AdaptHealth Corp,Healthcare,7.44,0,N/A,N/A,0,1012.628714,25.59405319,0,1.216284646,23.3,7.31
AHH,Armada Hoffler Properties Inc,Real Estate,10.35,0.072491566,N/A,N/A,0.750287704,703.249318,15.41604888,1.115006247,1.054436014,13.04,9.93
AHT,Ashford Hospitality Trust Inc,Real Estate,2.2,0,N/A,N/A,0,75.885357,N/A,0,2.048478971,8.43,2.06
AI,C3.ai Inc,Real Estate,24.75,0,N/A,N/A,0,2838.868857,N/A,0,2.927136391,48.87,10.16
AIN,Albany International Corp.,Consumer Cyclical,84.55,0.011778366,0.190476191,0.067907166,0.995860868,2636.223428,31.99882779,0.377220026,0.948955376,114.43,81.84
AIP,Arteris Inc,N/A,5.96,0,N/A,N/A,0,214.999836,N/A,0,1.785307755,8.08,3.27
AIR,AAR Corp.,Industrials,58.07,0,N/A,N/A,0,2049.580476,30.63647946,0,0.912630403,63.88,38.9
AIRS,Airsculpt Technologies Inc,N/A,6.255,0,N/A,N/A,0,355.189975,N/A,0,1.590956233,9.94,2.69
AIT,Applied Industrial Technologies Inc.,Industrials,159.43,0.008781283,0.029411765,0.024569138,1.384903491,6177.536405,17.81609915,0.156663291,0.984465079,163.61,106.54
AIV,Apartment Investment & Management Co.,Real Estate,6.57,0,N/A,N/A,0,971.233521,N/A,0,1.130084514,8.93,5.82
AJRD,Aerojet Rocketdyne Holdings Inc,Industrials,57.99,0,N/A,N/A,0,4683.208089,63.45810419,0,0.469332737,58.01,39.18
AKA,a.k.a. Brands Holding Corp,N/A,5.2,0,N/A,N/A,0,666.696139,0,N/A,0.728897389,25.8,3.6
AKR,Acadia Realty Trust,Real Estate,13.96,0.051575931,N/A,N/A,0.706441722,1330.462658,N/A,N/A,1.194847854,16.16,12.05
AKRO,Akero Therapeutics Inc,Healthcare,14.63,0,N/A,N/A,0,813.45982,0,N/A,0.575453393,58.38,14.03
AKTS,Akoustis Technologies Inc,Technology,0.7499,0,N/A,N/A,0,54.258885,0,N/A,2.29572678,4.96,0.7
AKYA,Akoya Biosciences Inc,N/A,3.575,0,N/A,N/A,0,174.9636,N/A,0,1.416671349,14.38,3.32
ALCO,Alico Inc.,Consumer Defensive,24.42,0.008145461,-0.9,-0.035807496,0.198912151,185.849655,N/A,N/A,0.670266288,32.8,22.4
ALE,"Allete, Inc.",Utilities,53.81,0.050362386,0.042307692,0.038829454,2.637536069,3088.594882,15.83082974,0.775745903,0.547623036,65.19,47.53
ALEC,Alector Inc,Healthcare,6,0,N/A,N/A,0,502.9818,N/A,0,1.544895087,9.86,4.98
ALEX,Alexander & Baldwin Inc.,Real Estate,16.1,0.053655465,N/A,N/A,0.863852979,1169.2625,N/A,N/A,0.991571053,19.77,16.03
ALG,Alamo Group Inc.,Industrials,170.44,0.006204395,0.222222222,0.128881321,1.057477126,2047.075074,16.41481428,0.101388027,0.79724084,200.56,136.77
ALGT,Allegiant Travel,Industrials,72.76,0.008246289,N/A,N/A,0.600000024,1342.211942,9.210454767,0.073710077,1.402173594,129.44,62.22
ALHC,Alignment Healthcare Inc,N/A,6.62,0,N/A,N/A,0,1247.240067,N/A,0,0.938052767,13.92,4.88
ALIT,Alight Inc.,N/A,6.72,0,N/A,N/A,0,3340.907244,N/A,0,1.430356436,10.19,6.33
ALKS,Alkermes plc,Healthcare,27.73,0,N/A,N/A,0,4618.673722,44.84497555,0,0.435471756,33.71,21.76
ALKT,Alkami Technology Inc,N/A,16.69,0,N/A,N/A,0,1572.67994,N/A,0,1.250460348,18.6,10.7
ALLO,Allogene Therapeutics Inc,Healthcare,3.19,0,N/A,N/A,0,534.728104,N/A,0,1.358237024,11.1,2.88
ALPN,Alpine Immune Sciences Inc,Healthcare,10.26,0,N/A,N/A,0,504.807872,0,N/A,0.893218109,14.92,4.82
ALRM,Alarm.com Holdings Inc,Technology,57.74,0,N/A,N/A,0,2881.580639,43.24619761,0,1.360461808,67.67,44.92
ALRS,Alerus Financial Corp,Financial Services,17.48,0.043478261,0.055555556,0.062980048,0.719691869,349.423295,9.239602694,0.384861962,0.997182536,22.75,12.58
ALTG,Alta Equipment Group Inc,Industrials,10.93,0.02074038,N/A,N/A,0.22669235,353.783464,73.70488837,1.532740703,1.216873848,20.44,10.51
ALTO,Alto Ingredients Inc,N/A,4.12,0,N/A,N/A,0,312.754861,N/A,0,1.732395658,4.58,1.2
ALTR,Altair Engineering Inc,Technology,65.57,0,N/A,N/A,0,3545.552906,N/A,0,1.216750582,78.49,43.68
ALVR,AlloVir Inc,N/A,1.72,0,N/A,N/A,0,196.026575,0,N/A,2.004983589,10.29,1.66
ALX,Alexander`s Inc.,Real Estate,175.78,0.098877263,0,0,17.38064537,897.759436,8.660699372,0.859576922,0.626394707,231.01,151.97
ALXO,Alx Oncology Holdings Inc,N/A,9.13,0,N/A,N/A,0,375.716107,0,N/A,0.790797015,13.64,3.94
AMAL,Amalgamated Financial Corp,Financial Services,16.64,0.023763048,0,0.107566343,0.395417114,506.791318,5.588849874,0.134954646,0.671762643,26.72,13.93
AMBA,Ambarella Inc,Technology,52.85,0,N/A,N/A,0,2107.564508,N/A,0,1.95478699,99.86,49.74
AMBC,AMBAC Financial Group Inc.,Financial Services,11.47,0,N/A,N/A,0,519.636857,1.100925545,0,0.771766284,17.75,11.33
AMCX,AMC Networks Inc,Communication Services,11.57,0,N/A,N/A,0,370.474524,N/A,0,1.549936601,27.46,9.96
AMEH,Apollo Medical Holdings Inc,Healthcare,31,0,N/A,N/A,0,1784.428138,39.50384401,0,1.148526352,40.81,26.89
AMK,Assetmark Financial Holdings Inc,Financial Services,24.08,0,N/A,N/A,0,1788.229755,0,N/A,0.770003378,33,18
AMKR,AMKOR Technology Inc.,Technology,22.78,0.013133203,N/A,N/A,0.299174361,5598.474625,9.652226263,0.127308239,1.595997334,31.2,17.45
AMLX,Amylyx Pharmaceuticals Inc,N/A,17.32,0,N/A,N/A,0,1166.982509,N/A,0,0.937898963,41.93,16.76
AMN,AMN Healthcare Services Inc.,Healthcare,73.89,0,N/A,N/A,0,2806.942778,8.792082823,0,0.695674485,129.04,72.1
AMNB,American National Bankshares Inc.,Financial Services,37.88,0.030911727,0.071428571,0.037137289,1.170936204,402.630725,11.9880523,0.370549432,0.812529742,43.27,24.34
AMPH,Amphastar Pharmaceuticals Inc,Healthcare,45.76,0,N/A,N/A,0,2208.8352,21.66735529,0,0.601060109,67.66,26.76
AMPL,Amplitude Inc,N/A,10.05,0,N/A,N/A,0,828.2004,N/A,0,1.674857199,17.44,8.5
AMPS,Altus Power Inc,N/A,5.26,0,N/A,N/A,0,836.287153,N/A,0,1.517673801,11.29,4.08
AMPY,Amplify Energy Corp.,Energy,7.34,0,N/A,N/A,0,286.717304,0,N/A,1.126684033,10.38,5.97
AMR,Alpha Metallurgical Resources Inc,N/A,223.59,0.00827872,N/A,N/A,1.851038984,3391.961139,3.664516914,0.032502879,0.889934057,267.6,129.46
AMRC,Ameresco Inc.,Industrials,33.3,0,N/A,N/A,0,1138.86,0,N/A,2.009054677,68.86,31.63
AMRK,A-Mark Precious Metals Inc,Financial Services,30.57,0.024655182,N/A,N/A,0.753708922,718.607217,0,N/A,0.755011951,39.27,24.41
AMRS,Amyris Inc,Basic Materials,0.05,0,N/A,N/A,0,0,0,N/A,,,
AMRX,Amneal Pharmaceuticals Inc,Healthcare,3.84,0,N/A,N/A,0,592.108646,N/A,0,1.435920169,4.74,1.24
AMSF,Amerisafe Inc,Financial Services,51.9,0.025180299,0.096774194,-0.372690052,1.30685752,995.442727,15.28980457,0.386644237,0.554738841,58.24,46.27
AMSWA,American Software Inc.,Technology,11.19,0.038789154,0,0,0.434050634,361.939017,0,N/A,0.866539925,16.96,10.01
AMTB,Amerant Bancorp Inc,Financial Services,18.38,0.019387276,N/A,N/A,0.356338125,619.341762,9.219139058,0.179064385,1.055612395,30.45,15.56
AMTX,Aemetis Inc,Energy,4.48,0,N/A,N/A,0,174.048,0,N/A,2.834256147,8.99,1.16
AMWD,American Woodmark Corp.,Consumer Cyclical,75.86,0,N/A,N/A,0,1245.668081,11.17161046,0,1.476919675,80.27,41.05
AMWL,American Well Corporation,N/A,1.03,0,N/A,N/A,0,259.279413,N/A,0,1.862485564,4.39,1.02
ANAB,AnaptysBio Inc,Healthcare,18.84,0,N/A,N/A,0,500.11869,N/A,0,0.457039707,32.44,16.51
ANDE,Andersons Inc.,Consumer Defensive,50.51,0.014650564,0.027777778,0.017055286,0.732306276,1704.822915,19.80786024,0.290597729,0.809289659,53.07,32.38
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,60.39,0,N/A,N/A,0,3041.063518,27.75098114,0,1.401988799,63.04,15.95
ANGO,Angiodynamic Inc,Healthcare,6.57,0,N/A,N/A,0,261.792431,40.61316031,0,0.574967881,15.96,6.32
ANIK,Anika Therapeutics Inc.,Healthcare,18.68,0,N/A,N/A,0,273.309172,N/A,0,0.853154093,32.51,16.54
ANIP,ANI Pharmaceuticals Inc,Healthcare,57.66,0,N/A,N/A,0,1169.390813,N/A,0,0.945562549,65.89,32.16
ANTX,AN2 Therapeutics Inc,N/A,13.92,0,N/A,N/A,0,305.244052,0,N/A,0.314854145,19.25,4.87
AOMR,Angel Oak Mortgage REIT Inc,N/A,8.05,0.150465266,N/A,N/A,1.211245391,200.892306,N/A,N/A,1.49865468,9.67,3.94
AORT,Artivion Inc,N/A,13.41,0,N/A,N/A,0,550.343195,N/A,0,1.344636268,17.97,9.83
AOSL,Alpha & Omega Semiconductor Ltd,Technology,27.37,0,N/A,N/A,0,758.322471,61.33310183,0,1.790503645,38.87,20.64
APAM,Artisan Partners Asset Management Inc,Financial Services,35.5,0.068732394,0.089285714,-0.012622343,2.171672031,2430.600049,13.21682227,0.743723298,1.326701011,42.27,24.49
APEI,American Public Education Inc,Consumer Defensive,4.41,0,N/A,N/A,0,78.3851,N/A,0,0.796659733,14.22,3.76
APG,APi Group Corporation,N/A,25.66,0,N/A,N/A,0,6050.268606,75.62835758,0,1.180520485,29.57,14.38
APLD,Applied Digital Corporation,Industrials,5.13,0,N/A,N/A,0,545.320257,N/A,0,1.694890871,11.62,1.45
APLE,Apple Hospitality REIT Inc,Real Estate,15.64,0.061381074,0,0.098560543,0.932712258,3578.417799,22.41133462,1.337989181,0.948354867,17.46,13.16
APLS,Apellis Pharmaceuticals Inc,Healthcare,48.44,0,N/A,N/A,0,5703.194279,0,N/A,0.65937118,94.75,19.83
APOG,Apogee Enterprises Inc.,Industrials,44.78,0.021438142,0.090909091,0.087892886,0.926366037,988.400146,9.796809857,0.204495814,1.078533365,51.69,36.25
APPF,Appfolio Inc,Technology,180.67,0,N/A,N/A,0,3780.570338,N/A,0,1.41977643,201.91,94.73
APPH,AppHarvest Inc,N/A,0.0666,0,N/A,N/A,0,0,0,N/A,,,
APPN,Appian Corp,Technology,41.27,0,N/A,N/A,0,1717.630409,N/A,0,1.650997603,54.26,29.8
APPS,Digital Turbine Inc,Technology,5.35,0,N/A,N/A,0,537.76671,N/A,0,3.620740746,20.4,5.3
ARCB,ArcBest Corp,Industrials,95.9,0.004986846,0,0.084471771,0.478238515,2303.993185,9.684509298,0.050393943,1.510842449,122.6,67.59
ARCH,Arch Resources Inc,Energy,154.48,0.130763524,0,-0.089717898,20.2003492,2800.305613,3.021021439,0.436575518,0.656145789,175.1,102.23
ARCT,Arcturus Therapeutics Holdings Inc,Healthcare,22.92,0,N/A,N/A,0,609.638514,7.59342983,0,1.294488927,37.75,13.83
AREN,Arena Group Holdings Inc (The),N/A,4.32,0,N/A,N/A,0,102.776545,0,N/A,0.933606815,16.5,3.27
ARGO,Argo Group International Holdings Ltd,Financial Services,29.72,0.010430686,N/A,N/A,0.310000002,1046.093446,N/A,N/A,0.455591897,30.13,21.43
ARI,Apollo Commercial Real Estate Finance Inc,Real Estate,10.09,0.138751239,0,-0.05319173,1.331429679,1426.253112,11.12912576,1.680673667,1.48444427,11.78,7.84
ARIS,Aris Water Solutions Inc,N/A,9.1,0.039000804,N/A,N/A,0.354907314,273.674474,25.80860749,0.94214843,1.131155243,17.21,6.57
ARKO,ARKO Corp,N/A,7.61,0.015636699,N/A,N/A,0.118995283,902.978667,0,N/A,0.630614428,10.61,6.62
ARL,American Realty Investors Inc.,Real Estate,14.7,0,N/A,N/A,0,237.435032,0.680668964,0,0.249042077,31.59,14.01
ARLO,Arlo Technologies Inc,Industrials,8.44,0,N/A,N/A,0,793.823719,N/A,0,1.776746372,11.54,2.93
ARNC,Arconic Corporation,Industrials,29.99,0,N/A,N/A,0,3009.390455,N/A,0,1.237765427,30.02,16.33
AROC,Archrock Inc,Energy,12.95,0.045410144,0.068965517,0.032646205,0.588061363,2026.669509,30.92357883,1.382697774,0.903699393,13.79,6.47
AROW,Arrow Financial Corp.,Financial Services,17.85,0.060504202,-1,-1,1.019576681,295.472085,7.603697607,0.433862417,0.869665446,33.34,16.14
ARQT,Arcutis Biotherapeutics Inc,Healthcare,3.88,0,N/A,N/A,0,239.217435,N/A,0,1.123500302,20.11,3.16
ARR,ARMOUR Residential REIT Inc,Real Estate,18.19,0.263881253,4,0.319507911,4.726452104,4152.944966,N/A,N/A,0.960478181,28.79,18.02
ARRY,Array Technologies Inc,N/A,19.44,0,N/A,N/A,0,2936.793024,40.16511699,0,1.491304312,26.64,13.86
ARTNA,Artesian Resources Corp.,Utilities,40.86,0.027900147,0.020114943,0.032269237,1.114188689,383.823967,23.09827086,0.644039704,0.560016036,62.01,40.38
ARVN,Arvinas Inc,Healthcare,16.84,0,N/A,N/A,0,900.687787,N/A,0,1.663433229,57.96,16.5
ARWR,Arrowhead Pharmaceuticals Inc.,Healthcare,26.6,0,N/A,N/A,0,2851.331167,N/A,0,1.381298818,42.48,23.09
ASAN,Asana Inc,N/A,17.58,0,N/A,N/A,0,3740.568221,N/A,0,2.370088972,26.27,11.32
ASB,Associated Banc-Corp.,Financial Services,16,0.0525,0.05,0.043167564,0.824791054,2414.73744,6.323967536,0.326004369,1.19115818,24.41,14.1
ASC,Ardmore Shipping Corp,Energy,13.15,0.073479334,N/A,N/A,0.966253242,560.8475,0,N/A,0.833732309,18.6,9.65
ASGN,ASGN Inc,Industrials,82.25,0,N/A,N/A,0,3980.9,16.69840604,0,1.394476224,99.69,63.27
ASIX,AdvanSix Inc,Basic Materials,28.79,0.020541866,N/A,N/A,0.591400321,783.46394,7.0368063,0.151641108,1.192327318,44.03,28.13
ASLE,AerSale Corp,N/A,15.54,0,N/A,N/A,0,797.649552,N/A,0,1.068493308,21.37,10.39
ASO,Academy Sports and Outdoors Inc,N/A,43.25,0.007946414,N/A,N/A,0.343682415,3223.629841,5.964835699,0.050765497,0.977052174,68.65,40.34
ASPN,Aspen Aerogels Inc.,Industrials,8.32,0,N/A,N/A,0,584.125892,0,N/A,2.337897268,14.44,5.33
ASTE,Astec Industries Inc.,Industrials,43.96,0.011749408,0,0.033975227,0.516503962,999.499617,40.14054688,0.469549056,1.202500155,56.33,33.45
ASTR,Astra Space Inc,N/A,0.7281,0,N/A,N/A,0,10.81175,N/A,0,2.018579175,11.1,0.725
ATEC,Alphatec Holdings Inc,Healthcare,11.21,0,N/A,N/A,0,1348.778568,N/A,0,1.275594962,19.14,8.83
ATEN,A10 Networks Inc,Technology,10.91,0.021864014,N/A,N/A,0.238536389,808.431,17.67951101,0.3969652,0.714484753,19.48,10.04
ATER,Aterian Inc,N/A,0.3026,0,N/A,N/A,0,25.818586,N/A,0,2.006943914,1.68,0.299
ATEX,Anterix Inc,Communication Services,31.56,0,N/A,N/A,0,601.128338,0,N/A,0.748469332,40.93,27.2
ATGE,Adtalem Global Education Inc,Consumer Defensive,44.41,0,N/A,N/A,0,1819.557594,19.49010897,0,0.494025813,47.25,33.59
ATHA,Athira Pharma Inc,N/A,1.79,0,N/A,N/A,0,68.117704,0,N/A,1.587591318,4.41,1.69
ATI,ATI Inc,Industrials,37.48,0,N/A,N/A,0,4819.355568,16.96358876,0,1.306238995,47.92,25.39
ATIP,ATI Physical Therapy Inc,N/A,7.45,0,N/A,N/A,0,31.333746,0,N/A,0.747715432,59,6
ATKR,Atkore Inc,Industrials,137.26,0,N/A,N/A,0,5187.581792,6.846448999,0,1.404018168,164.76,85.5
ATLC,Atlanticus Holdings Corp,Financial Services,28.19,0,N/A,N/A,0,406.81192,4.917106869,0,1.912396564,43.7,21.65
ATNI,ATN International Inc,Communication Services,33.09,0.024958593,0.235294118,0.043167564,0.825879845,516.263595,N/A,N/A,0.449913818,48.78,30.68
ATOM,Atomera Inc,Technology,6.27,0,N/A,N/A,0,161.727797,N/A,0,2.447769234,10.72,5.03
ATRA,Atara Biotherapeutics Inc,Healthcare,1.54,0,N/A,N/A,0,155.697314,0,N/A,2.607869476,5.64,1.25
ATRC,Atricure Inc,Healthcare,36.59,0,N/A,N/A,0,1734.366,0,N/A,1.13609166,59.61,33.98
ATRI,Atrion Corp.,Healthcare,399.3,0.022038567,0.023255814,0.102599478,8.557328807,702.628245,25.82337627,0.55675529,0.642436442,692.25,394.56
ATRO,Astronics Corp.,Industrials,15.27,0,N/A,N/A,0,404.872643,N/A,0,1.703969153,22.44,7.46
ATSG,Air Transport Services Group Inc,Industrials,20.16,0,N/A,N/A,0,1426.546659,9.394075037,0,0.737504571,29.55,14.39
AUB,Atlantic Union Bankshares Corp,Financial Services,28.65,0.031101172,0,0.054577943,0.891048575,2148.884827,10.35008586,0.32052107,1.215542718,40.19,22.84
AUPH,Aurinia Pharmaceuticals Inc,Healthcare,7.52,0,N/A,N/A,0,1078.536929,0,N/A,1.263287205,12.43,4.07
AURA,Aura Biosciences Inc,N/A,8.47,0,N/A,N/A,0,323.52942,0,N/A,1.072684821,14.38,7.94
AVA,Avista Corp.,Utilities,32.73,0.056217537,0.045454545,0.043100878,1.786961747,2504.668029,17.3349023,0.925886915,0.622553718,44.03,30.53
AVAH,Aveanna Healthcare Holdings Inc,N/A,1.17,0,N/A,N/A,0,222.797365,0,N/A,0.902301922,2.05,0.6664
AVAV,AeroVironment Inc.,Industrials,111.52,0,N/A,N/A,0,2931.909869,N/A,0,1.065787091,124.33,76.03
AVD,American Vanguard Corp.,Basic Materials,10.15,0.011786114,N/A,N/A,0.11962906,297.364773,25.84881548,0.302628536,0.641730553,23.96,9.85
AVDX,AvidXchange Holdings Inc,Healthcare,9,0,N/A,N/A,0,1819.321848,0,N/A,1.454187003,12.75,7.02
AVID,"Avid Technology, Inc.",Communication Services,26.9,0,N/A,N/A,0,1184.614668,36.66970029,0,1.231861542,33.41,19.78
AVIR,Atea Pharmaceuticals Inc,N/A,3.03,0,N/A,N/A,0,252.700112,0,N/A,1.084043343,6.32,2.88
AVNS,Avanos Medical Inc,Healthcare,18.45,0,N/A,N/A,0,864.805669,N/A,0,0.971143254,31.99,18.23
AVNT,Avient Corp,N/A,32.91,0.030082042,0.042105263,0.048837287,0.980463936,2997.464389,5.202124937,0.156623632,1.728988095,43.89,26.93
AVNW,Aviat Networks Inc,Technology,26.81,0,N/A,N/A,0,314.081107,27.24506481,0,1.142404582,39.8,21.15
AVO,Mission Produce Inc,N/A,9.03,0,N/A,N/A,0,639.252844,N/A,0,0.544768101,16.96,8.55
AVPT,AvePoint Inc,N/A,7.25,0,N/A,N/A,0,1344.135333,N/A,0,1.279157569,7.58,3.59
AVTA,Avantax Inc,N/A,25.67,0,N/A,N/A,0,943.630073,2.684916669,0,0.917043878,30.23,19.13
AVTE,Aerovate Therapeutics Inc,N/A,11,0,N/A,N/A,0,304.15,0,N/A,1.603217196,30.79,10.51
AVXL,Anavex Life Sciences Corporation,Healthcare,6.05,0,N/A,N/A,0,495.804246,0,N/A,1.794770646,15.24,5.8
AWR,American States Water Co.,Utilities,78.6,0.021882952,0.081761006,0.093521062,1.611605654,2906.375222,24.86185082,0.511620843,0.675306413,99.16,75.2
AX,Axos Financial Inc.,Financial Services,35.67,0,N/A,N/A,0,2140.2,6.967590709,0,1.777273778,51.46,33.15
BTAI,BioXcel Therapeutics Inc,Healthcare,3.13,0,N/A,N/A,0,91.6151,N/A,0,1.614741736,34.13,2.23
BTU,Peabody Energy Corp.,Energy,25.76,0.005813252,N/A,N/A,0.149749361,3420.928,2.351476492,0.016750488,1.121801605,32.67,17.65
BUSE,First Busey Corp.,Financial Services,19.08,0.048305061,0.043478261,0.037137289,0.921660565,1054.770696,7.744391956,0.379284183,0.85308821,26.46,15.92
